ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,13/12/2019 03:20,Stephen,McCabe,Male,Lab hold,Lab,Con,"82,665","49,467",160,"27,714",56.0%,"12,414","15,300","27,714","3,169","1,436","1,848",0,0,0,0,0,0,0,0,0
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,13/12/2019 04:19,Jess,Phillips,Female,Lab hold,Lab,Con,"74,704","42,678",107,"23,379",54.8%,"10,659","12,720","23,379","3,754","2,246",579,0,0,0,0,0,0,0,0,0
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,13/12/2019 02:48,Dehenna,Davison,Female,Con gain from Lab,Con,Lab,"68,170","44,805",131,"24,067",53.7%,"7,962","24,067","16,105","2,133","2,500",0,0,0,0,0,0,0,0,0,0
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,13/12/2019 02:25,Kate,Hollern,Female,Lab hold,Lab,Con,"71,234","44,736",109,"29,040",64.9%,"18,304","10,736","29,040","1,130","2,770",741,0,0,0,0,0,0,0,319,0
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,13/12/2019 04:25,Graham,Stringer,Male,Lab hold,Lab,Con,"73,372","38,618",142,"23,887",61.9%,"14,402","9,485","23,887","1,590","2,736",920,0,0,0,0,0,0,0,0,0
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,13/12/2019 02:42,Paul,Maynard,Male,Con hold,Con,Lab,"63,692","38,804",130,"22,364",57.6%,"8,596","22,364","13,768","1,494",0,735,0,0,0,0,0,0,0,443,0
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,13/12/2019 02:33,Scott,Benton,Male,Con gain from Lab,Con,Lab,"57,690","32,752",86,"16,247",49.6%,"3,690","16,247","12,557","1,008","2,009",563,0,0,0,0,0,0,0,368,0
W07000072,W92000004,Blaenau Gwent,Gwent and Mid Glamorgan,Wales,Wales,County,13/12/2019 03:51,Nick,Smith,Male,Lab hold,Lab,BRX,"50,739","30,219",84,"14,862",49.2%,"8,647","5,749","14,862","1,285","6,215",386,0,"1,722",0,0,0,0,0,0,0
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,13/12/2019 02:17,Liz,Twist,Female,Lab hold,Lab,Con,"67,853","45,681",121,"19,794",43.3%,"5,531","14,263","19,794","3,703","5,833","1,279",0,0,0,0,0,0,0,809,0
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,12/12/2019 23:32,Ian,Levy,Male,Con gain from Lab,Con,Lab,"64,429","40,859",94,"17,440",42.7%,712,"17,440","16,728","2,151","3,394","1,146",0,0,0,0,0,0,0,0,0
