ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001462,E12000003,Scunthorpe,,Yorkshire and The Humber,England,Nicholas,Dakin,Male,Lab gain from Con,Lab,Con,73855,39051,103,3542,15484,39.7%,15484,39.7%,11942,15484,942,8163,1218,0,0,0,0,0,0,0,1302,0
E14001463,E12000002,Sefton Central,,North West,England,Bill,Esterson,Male,Lab hold,Lab,Con,74284,47449,225,18282,26772,56.4%,26772,56.4%,8490,26772,2630,5767,3294,0,0,0,0,0,0,0,496,0
E14001464,E12000003,Selby,,Yorkshire and The Humber,England,Keir,Mather,Male,Lab gain from Con,Lab,Con,78043,49222,161,10195,22788,46.3%,22788,46.3%,12593,22788,1792,9565,2484,0,0,0,0,0,0,0,0,0
E14001465,E12000008,Sevenoaks,,South East,England,Laura,Trott,Female,Con hold,Con,LD,73708,49899,151,5440,18328,36.7%,18328,36.7%,18328,6802,12888,9341,2033,0,0,0,0,0,0,0,507,0
E14001466,E12000003,Sheffield Brightside and Hillsborough,,Yorkshire and The Humber,England,Gill,Furniss,Female,Lab hold,Lab,Green,70389,31612,529,11600,16301,51.6%,16301,51.6%,4069,16301,1694,0,4701,0,0,0,0,0,0,0,4847,0
E14001467,E12000003,Sheffield Central,,Yorkshire and The Humber,England,Abtisam,Mohamed,Female,Lab hold,Lab,Green,60594,31803,287,8286,16569,52.1%,16569,52.1%,2339,16569,2174,0,8283,0,0,0,0,0,0,0,2438,0
E14001468,E12000003,Sheffield Hallam,,Yorkshire and The Humber,England,Olivia,Blake,Female,Lab hold,Lab,LD,72900,51601,504,8189,23875,46.3%,23875,46.3%,6205,23875,15686,0,4491,0,0,0,0,0,0,0,1344,0
E14001469,E12000003,Sheffield Heeley,,Yorkshire and The Humber,England,Louise,Haigh,Female,Lab hold,Lab,Green,73452,38446,638,15304,21230,55.2%,21230,55.2%,5242,21230,3863,0,5926,0,0,0,0,0,0,0,2185,0
E14001470,E12000003,Sheffield South East,,Yorkshire and The Humber,England,Clive,Betts,Male,Lab hold,Lab,Con,74156,35771,796,12458,18710,52.3%,18710,52.3%,6252,18710,3421,0,3158,0,0,0,0,0,0,0,4230,0
E14001471,E12000004,Sherwood Forest,,East Midlands,England,Michelle,Welsh,Female,Lab gain from Con,Lab,Con,78896,48660,161,5443,18841,38.7%,18841,38.7%,13398,18841,1838,11320,2216,0,0,0,0,0,0,0,1047,0
